id;name;turnout
1;Carlow Kilkenny;70,71
2;Cavan Monaghan;72,74
3;Clare;70,69
4;Cork East;68,69
5;Cork North Central;70
6;Cork North West;73,48
7;Cork South Central;70,58
8;Cork South West;73,13
9;Donegal North East;64,86
10;Donegal South West;67,52
11;Dublin Central;61,64
12;Dublin Mid West;66,57
13;Dublin North;70,72
14;Dublin North Central;73,95
15;Dublin North East;72,23
16;Dublin North West;67,51
17;Dublin South;71,4
18;Dublin South Central;64,52
19;Dublin South East;60,54
20;Dublin South West;67,23
21;Dublin West;68,65
22;Dun Laoghaire;71,34
23;Galway East;71,53
24;Galway West;68,96
25;Kerry North Limerick West;72,35
26;Kerry South;74,93
27;Kildare North;66,2
28;Kildare South;65,61
29;Laoighis Offaly;69,55
31;Limerick;69,93
30;Limerick City;67,2
32;Longford Westmeath;67,72
33;Louth;70,52
34;Mayo;73,94
35;Meath East;66,43
36;Meath West;64,66
37;Roscommon Leitrim South;78,75
38;Sligo Leitrim North;70,69
39;Tipperary North;77,16
40;Tipperary South;72,78
41;Waterford;69,23
42;Wexford;68,75
43;Wicklow;74,8
